......,52
bye,57
hello,78
OK,68
Sorry,44
一下,75
一个,4
一些,51
一何,113
一切,31
一则,69
一则通过,125
一天,36
一定,58
一方面,55
一旦,102
一时,88
一来,5
一样,20
一次,82
一片,97
一番,108
一直,122
一致,29
一般,34
一起,85
一转眼,67
一边,81
一面,76
万一,9
三天两头,74
三番两次,85
三番五次,74
上下,115
上升,97
上午好,9
上去,14
上来,35
上述,3
上面,38
下列,55
下午好,43
下去,32
下来,125
下面,14
不一,80
不下,104
不久,21
不了,49
不亦乐乎,54
不仅,123
不仅仅,68
不仅仅是,98
不会,33
不但,127
不光,24
不免,123
不再,31
不力,40
不单,109
不变,39
不只,125
不可,124
不可开交,115
不可抗拒,78
不同,42
不外,107
不外乎,22
不够,48
不大,46
不如,84
不妨,29
不定,19
不对,6
不少,104
不尽,119
不尽然,24
不巧,18
不已,20
不常,46
不得,44
不得不,79
不得了,9
不得已,62
不必,28
不怎么,82
不怕,70
不惟,104
不成,53
不拘,82
不择手段,124
不敢,117
不敢当,111
不料,87
不断,81
不日,16
不时,93
不是,34
不曾,17
不止,112
不止一次,127
不比,40
不消,77
不满,10
不然,76
不然的话,91
不特,100
不独,98
不用谢,85
不用送,62
不由得,61
不知不觉,14
不管,13
不管怎样,25
不经意,84
不胜,90
不能,69
不能不,76
不至于,44
不若,121
不要,90
不要紧,118
不论,85
不起,29
不足,18
不过,1
不迭,81
不错,48
不问,16
不限,94
与其,37
与其说,30
与否,41
与此同时,115
专门,68
且不说,122
且说,21
两者,123
严格,43
严重,100
个人,114
个别,17
中午好,40
中小,123
中间,56
丰富,35
串行,11
临到,74
为主,84
为了,70
为什么,43
为什么,98
为什麽,22
为何,73
为止,43
为此,125
为着,111
主张,53
主要,59
举凡,9
举行,125
乃至,86
乃至于,52
之一,5
之前,123
之后,89
之後,75
之所以,107
之类,57
乌乎,89
乘势,20
乘机,90
乘胜,4
乘虚,7
乘隙,24
也好,100
也就是说,41
也是,35
也罢,52
乳头状囊腺瘤,22
乳头状瘤,0
乳头状腺瘤,63
乳头状腺癌,57
乳腺癌,96
了解,26
争取,103
二来,54
二话不说,87
二话没说,20
于是,92
于是乎,18
云云,69
云尔,36
