hash,question,what
9f90e5bc054653a897d1a7279a3ef065,鼻咽癌,3
a47de205144f6a067a315a570b4b2471,肺部良性肿瘤,3
e57a2d6831da4bbc750ee1b43fe38c5e,乳腺癌术后胸部的不适,1
e49a8c471097bd19887b8254da949afd,我朋友肝里有血管瘤,2
341c5b117e4a20df42471bb3f2bff961,是否已经有能根治神经纤维瘤的方法了呢？,1
e9ae238b8f45ea198c8042f4e0339e0d,做过畸胎瘤腹腔镜手术容易怀孕吗,1
58b559020275f5d94974be282ea1089b,右前臂肿块是良性肿瘤吗，恶性肿瘤？,1
e1e3f344b776a80a917f1f2e07eef044,皮肤癌能不能治好？,1
5173321c7ef8b04197c8a0938511debb,淋巴癌第二次手术会有效果吧,1
69429380c57624482322ff4a98e57a76,肺癌或神经纤维瘤 62岁右肺部疼痛，为何病,1
b8fd6d9f71d6e20114f6fd028dcc3324,流产后是否可做乳腺纤维瘤手术,1
06148b837741da3e9bc7a75e6bc127c5,神经纤维瘤会不会遗传给小孩,1
59d966d48b4624202c5b4b2d2f0f6934,牙癌有什么症状,1
ce66895acc522f55fe8b5b01642826ce,5月底被检查为畸胎瘤我打算今年年底结婚可以先怀孕吗?等剖产再一起手术.,1
a760945927afc891f89b579b0b78cbb1,卵巢畸胎瘤会不会引起排卵期出血?,1
d86ca5475bc0aa53b58d974a369caeca,甲状腺癌早期症状？早期怎么发现甲状腺癌？,1
46a35764e5da9cead9f5afa49c1438ae,乳腺癌是恶性肿瘤吗？,1
ae36b84c1adbb35c0dd58732f21a003e,恶性肿瘤到底能不能切,1
6f55df37dbe5f3f23a6be8a2a1a7ca08,神经纤维瘤会死人吗,1
53461c0100ffa214026ba8404f264f31,纤维肉瘤伴少量卵泡膜细胞成份是恶性的吗？,1
fe125323e7356c8ee67d2deb7a94f668,甲状腺癌恶性严重吗？,1
ebfc9e9adfa8440e4b2b4f5d32638c7f,淋巴癌的成因是什么？,1
89ac572c0514d5f064cedab70fbdc1a5,畸胎瘤是因为生小孩子影起的吗？,1
8180a9a8d42420210875d6c1349c4e00,孕33周 左心室横纹肌瘤9*8*9 （单发）,1
d7423b88561232ab93d7cb64253ad79d,神经鞘瘤会复发？？,1
dda633592eb5e351ad56b23be09b88dd,宫颈癌如何才能早期检查出来呢？什么筛查方法最先进，准确率最高？,1
b34c877c36f828e080a3573afd151285,淋巴细胞偏高是病毒性感染吗？会不会是癌症滋病毒感染呢,1
6a3aa8be0dc3803c0b255f796a3d92a9,纵膈肿瘤会有哪些兼症呢？,1
d0a8b5412e5362042a421b056892eccd,脑胶质瘤 3级 术后再次生长出瘤的速度大概多久？,1
874e7a942ab599a32046f7f86d6f1736,女18岁 卵巢畸胎瘤复发 卵巢畸胎瘤是什么原因所致？,1
05e1d251439429574fc6d308fec8bb23,卵巢要实施卵巢癌根治术是有多严重,1
e5acee59f1255438a2aedc65d554e1be,纵膈肿瘤有哪些明显的症状呢？,1
a36e9598c02f85d6c0d2b74c0e4c0c9c,膀胱肿瘤是癌吗？手术切除还有复发的迹象吗？,1
519b709c4f736c7a5757fde9145b314d,纤维肉瘤的发病原因是什么 中国人民解放军海军总医院纤维肉瘤的发病因素,1
5ab40f1f34de2edb245e483b9561009f,畸胎瘤会病变吗,1
