HASH,question,what
4a23ff6e2f51054ea49376bba2cc6308,双乳腺增生，右乳有实性肿块，属纤维肿瘤,1
f78e7b62345b48afa8bed9f603705681,新生儿查到不明肿瘤是良性的该如何处理,1
3462243997cf14154061f8046b160811,右肺上有一个小点，靠近乳房，胸腔有少量积液是肺癌吗?,1
bc3719530855d92532580802078de8a3,我家有个人刚做完甲状腺癌的碘131，昨天刚回来，家里的小孩15岁了，请问病人用过的东西，去过的房间,3
f808b935141276d3562cc9cb8e8608a0,于谦 相声演员 得了肝癌吗,6
103cf5ddbb86244329d2969e1ce20127,左面部非典型脂肪瘤性肿瘤、高分化脂肪肉瘤请问术后是否需要放化疗,2
1b11e6f4fb111f8d75d1eef6320f4606,乳房淋巴管堵塞怎么办？,2
e02e99998e1629d09d9dd11e97150c5e,宫颈原位癌做了子宫全切除现在涂片化验鳞状上皮增生会不会是原位癌复发,1
0bcd142fa43d0075f6e7aaffdf0237cf,宫颈癌有哪些高危因素？,3
368849e2bd417b3a47b230e96f637e44,血癌怎麼治？不及時會死麼？,3
55cbd673195d7a789ddd40892f408c3e,关于前列腺癌治疗方法,2
77ecff165644fdbfa74f8c39ad043c35,宫颈糜烂会变宫颈癌吗,3
17efaa2c0b109d5d49562be2f45bcac0,胃癌术后长期腹泻怎么办,2
046cac0055d94ca7b1ea37133222da36,北京草莓状血管瘤的病因？告知一下吧！,3
7eef2bccc28009089cc4805c4ef6624d,前列腺癌术后饮食注意哪些,2
f4ddad37f07191c8ffbc840cde5e370c,黑色素瘤是怎么回事？该如何治疗？,2
577c012caf14935d65f1998d572a015a,胆囊癌怎样确定,3
5fee9eded46706a2bdbca2936dd69fdb,脑瘤的症状?,3
4ec5217565d5a1c26be99356255d322a,滑膜肉瘤 得了滑膜肉瘤应该注意什么,3
0123a4e49c499facb2a3d1eba7d0d55e,腮腺肿瘤除了手术切除还有没有其它治疗方法？,2
1b6656ba9f22d329e3a2da2425941913,手术后化验为基底细胞癌，因如何继续治疗？,2
2be8b51652eae976829bea5fd5a132f1,脂肪瘤是怎么形成的呢,3
efeac0371abd20db42dc6ec0ad337080,毛细血管肿瘤与其它肿瘤的区别？,3
7471543ee26b9a5300c34a75f9700304,肝癌射频术后可以要小孩吗?,3
0685bbcac1f913df65f715c626f89ce2,围胸穿多了会得乳腺癌吗?,3
8c43647638aea8f79beac92d134740b8,会不会是脑瘤,3
df009347e660a68c5e37683a6fcc8edf,儿子刚结婚没多久就接到一个噩耗。媳妇患了直肠癌。要知道我们家就可以好几代单传了。,3
b181c6a5153dd31cdfcb959012f2804d,胰腺癌晚期 黄疸 肝腹水怎么办？,2
78c5c25bb672b048edf1fe4c9d8e70de,怀孕23周肛门附近长了个肉瘤一样的东东，会痛.,1
13f261fcac6e3356af085261d42534be,脑胶质瘤病是世界难以攻破的？,3
741391755db73dd4fb9df1c6a5b8c542,小孩女，12岁，最近夜里总是3点多就醒了，这是为什么？网上说是肺癌，真的吗？,1
7ca8a78e01df0fb679a78a86533e0c83,脑瘤是由哪些原因引起的，中医治疗脑瘤效果好吗？,2
00b6dd5e52c8aaefbd5a17f5f620f64f,肺癌早期症状是什么？,3
e9f78eb22a9fb5e2134c293985f7f618,食道鳞状细胞癌,3
8492b63db328b51910f4a34f2758201a,我伯母已经做过一次肿瘤手术了，这次去检查说是胶质母细胞瘤4级，能不能2次手术？,2
c8600db25a12d036fb80824651fd5526,腹腔淋巴瘤的症状,3
d023d658cf1c46e8305acbd4b2b7d2a7,胃：溃疡型低分化腺癌，请求术后治疗,2
ef24288c7c74573ce296a5038d15d923,肠癌手术后不排便怎么办,2
2b9d5cccbfd821da62eee0a364bab1a4,本月检查子宫确诊为鳞状细胞癌中分化，宫颈3，5点，部分ciN2一3，请问医生这个结果严不严重？怎样,1
bcb341f01de10097153eab04b8bf4e4d,一个抽烟的人，如果比较经常咳嗽，而且痰很多，是不是肺癌？,1
c332d518b993e35ac2fe2b3776f9b958,如何才能确诊是否为肺癌,3
912619828b57eae57848c3d53b0623de,惰性淋巴瘤怎么办,2
510dac55ba7914b0069d4abf1395ba8e,咽炎与喉癌的区别,3
17988e43d1c1bf789d08477bd81ca0f3,你好，请教关于基底细胞癌,3
d0d5c49575cdbff86620725649d5c497,本人53岁，女性.初步确认为舌癌.何时手术合适?,2
12f8fade72787557dc0a14abfe87b5b7,什么良性是肿瘤？,3
b3cddcd776a443d60baf4d173c0c16d3,宝宝 大脑星形细胞瘤能不能治愈,2
b8f5c7617c6f9d9e46c3d4c4d97cfe59,谢霆锋皮肤癌能活多久,4
2031fa32d0853e685f0e2547a21538c2,骨癌晚期还能活多久,4
ba0a01db2434577ef77c5559d5dd1353,神经官能症，我因扁桃体乳头状瘤手术后仍感觉呼吸不畅,6
3440b8d89ec41c6e91d045b1036bb2fe,骨癌治疗的方法,3
5bba6bf60a11df873baec5f98ff2dc4e,卵巢癌晚期术后四年能活多久,4
1c533bea1d58939ba9b80c67dc7cbe7c,脑癌引起的视力模糊怎么治疗,2
8dac1bb34409ce75ec38ef11c41f4a67,喉癌出现的环境因素有多少,3
c5d62ed79edb1a3b81e33c52b0356de9,阴道残端癌怎样治疗才好？,2
c361e3cb5b3cf4f26fff1fa4981372bc,下腔静脉平滑肌肉瘤如何判断,3
d51271a8090f51723ec9d669b9c222b6,子宫腺癌,3
aa5c91322a5ae7e42a520e6cc29b2b39,世界上现在有几种癌症？哪几种？说的详细点！,3
30171afed3f648f4ff160b5452338a25,肿瘤和癌相同吗？,3
d4b79c404ac5f64c1dbb690a62810e1b,如何看子宫内膜病理检查报告单,3
9e6ab6ea7a825dfb19b9e7cf63a6dada,宫颈癌会影响月经吗,3
949ba2e6f2bda9c3e63d427a84ab506a,子宫灶性腺体腺瘤样增生,3
6bcfb094d276c060c6d473a3b8ed810a,宝宝血管瘤长在脚上捏着不痛，这严重,2
3b6d92d61d1d578117984e80dc43089b,癌症晚期还能要小孩吗？本人今年35岁，因患了直肠癌晚期在家吃中药，感觉现在有些好转了，但是行为只有,1
50cd7f192629f7f2ab928ef6457f0567,大腿恶性软组织肉瘤有什么中医疗法,2
a0b269f38de242c42866fc08cf7e13e4,脑瘤类、谢谢热心人士、、,3
e82d55d0c694fd8177e60dd12658a44e,母羊临产前几个月为什么屁股后出现肉瘤,6
c1a809d279bb7cf048696acddcc71cc0,患惡性骨軟骨瘤怎麼辦,2
2d889af6647b3d38a02a2ba210363f03,得了基底细胞腺瘤怎么治疗,2
c0db21e64709493f6b7d77a8745743b6,如何自我检查乳腺癌？,3
ae62edcc1a3639446f5d6e2cfb6b08f6,肺癌患者用嚼过的食物喂婴儿是否会传染,3
5c8868cb4caa40e0064d3bb3c35751dd,人乳头状瘤病毒是这样的一种病，有什么样的后果和症状？,3
6f3d2d4571a74e8cdfdd104f1f89dab6,三岁宝宝，肚子肿瘤挤压尿泡，最快能几天能动手术,1
97ecc90a92cec82bcf411b00881dc07b,食道平滑肌瘤手术咨询,2
a0a2479b3c617d911ebb1bafbcc6f5b2,子宫腺肌症和盆腔癌的区别,3
21588082d1739c8695fa99ea2bec2df6,之前有做过一次腋下淋巴瘤的手术，到医院复查没有问题，因为是脚不舒服去做了磁空诊，说可能是骨癌，有这,1
9a49ae6cdf4985f585a246588f21446b,扁桃体良性肿瘤有以下几种?,3
b5fc2b638c9fb3e9901b88a592b7befe,一岁半小男孩，患神经母细胞瘤（恶性），无法进行手术或化疗，可以治愈吗？,1
400c1939d0b318f3509a66d56dd3677a,乳房疼痛，是乳腺癌吗？,3
56b4810e6cb727ca08b32b8fa53f6e97,如何检查子宫癌,3
2a5756fc8ddbcf1218a0ac0fde467fed,血瘤和血管瘤有什么区别,3
bd048322621691c3d7fe955d91202a4f,61岁 4级脑胶质母细胞瘤 手术治疗后 放...,2
2eef0cd65ee316a48e1b6c405971e450,血管瘤没有变大，但在变厚,1
c2905c1ef6599770118181aa5fa80df2,淋巴癌中药保守配方加全虫好吗？,2
fe6b2e3e7eca092df5731785735f66f3,脑膜瘤要怎么治疗？,2
2f7a67b38472dcaeb8ba0956698f494a,乳腺纤维腺瘤服药治疗期间的问题,2
1bf379afffa7704995bee2870e539a4a,我家宝宝两岁的时候发现患有血管瘤，在湖南省儿童医院做手术切除了，又发现肩胛骨上长有软骨瘤，请问两者,1
26e4d17781d0ef7cc4c82373dc47cf9e,舌下高-中分化鳞状细胞癌,2
6f44457ded5c246d0981562610007069,请问这是黑色素瘤么,3
ce02f249cf9a27e9975b3ebf764f7d35,高级别鳞状上皮病变属于宫颈癌吗,3
bb7587688a55c8758cd63f514414dffc,皮下软骨肉瘤,3
1529c2c7988df0833d59f2ac873c4d5b,青春期小孩肛门处有肉瘤是什么,1
1eacdc0ac8b2b8d01335eeea4142f71e,淋巴结是是那类病情,3
89420894936192ab58f7824110dd0c04,4岁男孩耳内患横纹肌瘤,2
1e1297324b7c92637b4bab92aee4a17c,（右侧甲状腺+右喉返神经）乳头状癌,1
10a032b06903bce1f6e55e68ea7d7747,纵膈肿瘤治疗期间应该怎么办？,2
127ea17b8101a20671fadd68d5a0ed50,平滑肌肉瘤手术后如何防止复发？,2
2e3f4025817e873b2a40f4bd8604de47,从b超结果可以判断卵巢肿瘤良性还是恶性吗,3
30c4b09f2e502c1cf23c3d4f97a5afdc,早期肺癌有哪些症状表现？,3
d26b472ba78b3c8541b4165185ad078d,乳腺癌分期的确定及预后,3
eca001d973327eff390e1e90a3e6c16f,顾里为什么得子宫癌,3
2a8e4fdb02b69a2791e52feca3b845d8,得了食管乳头状瘤该吃什么菜,3
82943b4b69bd58d6b24eea88157c3de0,良性肿瘤手术后能吃蜂蜜和醋？,2
88289ceb272e367bda954ef000463f1c,鼻咽癌放化疗期间能否同房,3
f605cbe9847f0519e2735db24d421679,颈部淋巴结结节,3
b0a7d0826f3381367c3d751d77229f8f,5fu化疗少打十几毫升有问题吗,2
26b2c331b5ab919cf6b7aae204890fd1,一般的肺癌犯者能活多久,4
8aa41b0e2e191d7e78a33c68da3ac9b6,胎儿现在怀疑有横纹肌瘤怎么办,1
6d34e7fd820dd3923eb7b41a35728bc4,六岁小孩脸上长了一个血豆怎么办小医院说是血管瘤,1
463d3225174036367b553c66a6844902,骨癌晚期还有希望吗？,3
2c0bb0bf57b5bc64756a32caa0419473,脑癌能治的好吗？,3
f6d774d6d6fd2fb0b6ec0277417fe2ab,腿上有囊肿手术后复发，是否良性变成恶性怎么办？,1
8b3b099bd215d4748d76c5897f5b2544,鼻咽癌是传染性疾病吗,3
b60698dc08971837299ac107b5769cef,鼻咽癌如何防止複發？,3
adf69b1ca985befaca7396dc0d013c89,什么病变可以导致宫颈癌？,3
93aad00ea5aea62097247e604f54b9d1,肺腺癌术后可以喝牛奶不？,2
7109c3087d2a8fe214543d5eef848212,肺癌晚期死前两三天,2
608278557b846de3ec591cb8c5e4cbc5,想吐子宫痛，是不是癌细胞侵犯神经时就是扩散了,1
dfbb7e04f02768e6c70b7c8df04fd7eb,子宫癌CIN3级状态严重吗？,1
0f7602a8401ee874aa543c48f85db885,骨癌不想吃饭怎么办？,2
d8ab1113454e77d9d7fa39bb394d9fef,畸胎瘤会自己消失吗,3
bb19bc6c1999c2dcae1489c3c4d2e41f,吸烟能导致肺癌吗？,3
d4d66df11ddedc421c0fd8b3979bbc31,左颌下腺中分化鳞状细胞癌,2
a00a9fd7b816fb938ff95947e8c27b2d,这是黑色素瘤吗,3
ea3fd66e6559ea352421f52b9d6f0875,山东哪家医院的脑瘤放疗技术好？我今年41岁11月13日做过脑瘤切除术，现在需放疗，不知道山东哪家医院的放疗技术好？{胶质母细胞瘤},3
ae2865a60f694fca6ccb00b2424f12ca,宝宝的耳根后面长了2，3个高高的肉瘤,1
d3b87ba76c81303159b82a7ae5911096,胰头癌阻塞性黄疸术后反复高烧,2
aaf949cfe875c6d98da4f35ac82fa8c4,小孩得了脑干胶质瘤怎么办？_脑干胶质瘤,2
2083d61f67e3c9b17877cd6643116d39,胚胎橫紋肌肉瘤張在肺部平常要注意什麼？,3
b5be6721e5ef8a0a39d5094e00b647e9,请问十一个月人婴儿打脑瘤疫苗后，总是闹正 1,1
8d2ea9682ba954fb1fef505784b4da61,急！孩子脑干部位大出血后昏迷，术后医生怀疑孩子患了髓母细胞瘤，这细胞瘤是否会自发破裂出血，是何原因,1
386ae7c65aba54ea4b86810779f50d5c,11岁男孩得主型霍奇金淋巴瘤能治愈吗,2
